#1
double	HDU(8761,11) #T_Außen	Q_Lüftung	Q_Heizen/Kühlen	Raumtemperatur	Te_gl.Mittel	Q_el_need	CO2-Konzentration	Raumfeuchte	Stromverb	TWW-Verb	
0.00	1.9	-1.70	3.47	20.06	-2.98	3.96	1200.82	51.78	158.51	0.00	
3600.00	4.3	-1.48	4.97	19.99	-2.98	3.96	1207.32	51.92	117.04	0.00	
7200.00	6	-1.32	5.87	19.94	-2.98	4.03	1211.90	52.03	105.37	0.00	
10800.00	6.8	-1.25	6.56	19.91	-2.98	4.21	1215.13	52.14	102.58	0.00	
14400.00	7	-1.23	7.03	19.88	-2.98	4.61	1217.41	52.23	104.84	0.00	
18000.00	7.1	-1.22	6.82	19.86	-2.98	9.69	1219.01	52.30	125.25	0.00	
21600.00	7	-1.23	6.19	19.85	-2.98	11.21	1220.14	52.33	221.16	4.20	
25200.00	7.2	-1.21	6.03	19.85	-2.98	12.09	1184.49	52.33	308.75	70.00	
28800.00	7.1	-1.22	6.33	19.84	-2.98	8.33	1135.06	52.30	327.19	1.40	
32400.00	7	-1.23	6.47	19.84	-2.98	8.08	1075.94	52.18	323.56	1.40	
36000.00	7.3	-1.20	5.96	19.86	-2.98	7.84	997.82	51.96	314.28	1.40	
39600.00	7.4	-1.19	4.78	19.89	-2.98	7.97	942.77	51.74	317.14	1.40	
43200.00	7.4	-1.19	4.06	19.92	-2.98	11.77	903.98	51.52	356.05	22.40	
46800.00	7.6	-1.17	4.05	19.94	-2.98	7.28	876.64	51.37	346.65	1.40	
50400.00	7.7	-1.16	4.37	19.93	-2.98	6.76	893.83	51.36	301.72	1.40	
54000.00	7.6	-1.17	5.29	19.91	-2.98	6.69	905.94	51.39	269.89	1.40	
57600.00	7.5	-1.18	5.87	19.89	-2.98	7.12	914.47	51.44	252.64	1.40	
61200.00	7.3	-1.20	5.31	19.88	-2.98	11.96	969.09	51.48	276.85	1.40	
64800.00	7.5	-1.18	4.39	19.88	-2.98	13.00	1044.02	51.55	344.74	7.00	
68400.00	7.5	-1.18	4.25	19.88	-2.98	9.38	1096.83	51.61	409.18	7.00	
72000.00	7.6	-1.17	4.62	19.87	-2.98	8.86	1134.04	51.68	399.96	7.00	
75600.00	7.8	-1.15	5.15	19.87	-2.98	8.08	1160.27	51.76	371.16	7.00	
79200.00	7.7	-1.16	6.08	19.86	-2.98	7.00	1178.74	51.84	322.97	2.80	
82800.00	7.2	-1.21	7.35	19.84	-2.98	5.89	1191.77	51.99	238.60	0.00	
86400.00	7	-1.23	8.28	19.82	-0.60	5.20	1200.94	52.20	158.51	0.00	
90000.00	7.1	-1.22	8.81	19.80	-0.60	4.95	1207.41	52.38	117.04	0.00	
93600.00	7.4	-1.19	9.06	19.79	-0.60	4.88	1211.97	52.56	105.37	0.00	
97200.00	7.3	-1.20	9.28	19.78	-0.60	4.97	1215.18	52.76	102.58	0.00	
100800.00	7.7	-1.16	9.25	19.78	-0.60	5.20	1217.44	52.94	104.84	0.00	
104400.00	7.2	-1.21	8.83	19.77	-0.60	10.27	1219.03	53.11	125.25	0.00	
108000.00	7.1	-1.22	7.95	19.77	-0.60	11.71	1220.16	53.25	221.16	4.20	
111600.00	6.9	-1.24	7.77	19.77	-0.60	12.64	1184.50	53.34	308.75	70.00	
115200.00	6.6	-1.26	7.88	19.77	-0.60	8.82	1135.07	53.37	327.19	1.40	
118800.00	6.4	-1.28	7.23	19.80	-0.60	8.34	1075.94	53.30	323.56	1.40	
122400.00	6.6	-1.26	2.39	19.96	-0.60	6.81	997.82	52.74	314.28	1.40	
126000.00	8.3	-1.11	0.00	20.08	-0.60	6.58	942.77	52.33	317.14	1.40	
129600.00	8.2	-1.13	0.00	20.19	-0.60	10.53	903.98	51.93	356.05	22.40	
133200.00	8.1	-1.13	0.00	20.13	-0.60	6.11	876.64	52.03	346.65	1.40	
136800.00	8.4	-1.10	1.30	20.07	-0.60	5.87	893.83	52.16	301.72	1.40	
140400.00	8.3	-1.11	2.30	20.04	-0.60	5.81	905.94	52.22	269.89	1.40	
144000.00	8.6	-1.08	3.30	20.00	-0.60	6.33	914.47	52.32	252.64	1.40	
147600.00	8.4	-1.10	3.03	19.98	-0.60	11.18	969.09	52.47	276.85	1.40	
151200.00	8	-1.13	2.52	19.96	-0.60	12.41	1044.02	52.69	344.74	7.00	
154800.00	8.1	-1.12	2.58	19.95	-0.60	8.88	1096.83	52.90	409.18	7.00	
158400.00	9.2	-1.02	2.74	19.95	-0.60	8.28	1134.04	53.05	399.96	7.00	
162000.00	9.5	-1.00	3.28	19.95	-0.60	7.48	1160.27	53.19	371.16	7.00	
165600.00	9.1	-1.03	4.29	19.93	-0.60	6.43	1178.74	53.36	322.97	2.80	
169200.00	8.6	-1.08	5.59	19.91	-0.60	5.30	1191.77	53.52	238.60	0.00	
172800.00	8.6	-1.08	6.49	19.89	1.68	4.57	1200.94	53.73	158.51	0.00	
176400.00	8.8	-1.06	6.95	19.88	1.68	4.29	1207.41	53.88	117.04	0.00	
180000.00	9	-1.04	7.23	19.87	1.68	4.23	1211.97	54.03	105.37	0.00	
183600.00	9	-1.04	7.38	19.86	1.68	4.29	1215.18	54.17	102.58	0.00	
187200.00	8.8	-1.06	7.42	19.85	1.68	4.59	1217.44	54.32	104.84	0.00	
190800.00	8.7	-1.07	6.84	19.85	1.68	9.47	1219.03	54.45	125.25	0.00	
194400.00	8.9	-1.05	5.78	19.86	1.68	10.84	1220.16	54.54	221.16	4.20	
198000.00	8.3	-1.11	5.60	19.86	1.68	11.82	1184.50	54.61	308.75	70.00	
201600.00	5.1	-1.40	6.88	19.82	1.68	8.63	1135.07	54.67	327.19	1.40	
205200.00	6.1	-1.31	6.96	19.82	1.68	8.28	1075.94	54.61	323.56	1.40	
208800.00	6.5	-1.27	5.67	19.87	1.68	7.80	997.82	54.32	314.28	1.40	
212400.00	6.3	-1.29	1.10	20.01	1.68	6.91	942.77	53.64	317.14	1.40	
216000.00	6.8	-1.31	0.00	20.69	1.68	10.63	903.98	51.23	356.05	22.40	
219600.00	6.8	-1.36	0.00	21.24	1.68	6.11	876.64	49.26	346.65	1.40	
223200.00	6.9	-1.37	0.00	21.51	1.68	5.50	893.83	48.14	301.72	1.40	
